Country,Management,Location,Plot,Replication,BLK,Pedigree,Entry,YLD,AD,ASI,rEPP,nP,EA
Ethiopia,Low Nitrogen,Bako Low N,1,1,1,DH04,30,1.570130794,89,3,0.8,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,2,1,1,ECAVL16-STR/NIP25,18,0.594924444,89,3,0.642857143,14,3.5
Ethiopia,Low Nitrogen,Bako Low N,3,1,1,ECAVL2/ECAVL16-STR,8,1.570130794,89,2,0.866666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,4,1,1,ECAVL1/ECAVL16,2,2.503263492,88,2,0.866666667,15,2
Ethiopia,Low Nitrogen,Bako Low N,5,1,1,ECAVL16-STR-#,25,1.090201905,90,2,0.733333333,15,3
Ethiopia,Low Nitrogen,Bako Low N,6,1,2,ECAVL16/ECAVL18,14,2.065645714,88,2,0.857142857,14,2
Ethiopia,Low Nitrogen,Bako Low N,7,1,2,ECAVL16/ECAVL16-STR,12,1.19408,89,2,1,13,3
Ethiopia,Low Nitrogen,Bako Low N,8,1,2,ECAVL16-STR/ECAVL17,16,2.328730159,89,2,1.071428571,14,2
Ethiopia,Low Nitrogen,Bako Low N,9,1,2,NIP25-#,28,1.302059683,85,3,0.666666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,10,1,2,ECAVL17-#,26,0.320377143,92,2,0.230769231,13,3
Ethiopia,Low Nitrogen,Bako Low N,11,1,3,ECAVL16/ECAVL17,13,0.966031746,87,2,1.272727273,11,3
Ethiopia,Low Nitrogen,Bako Low N,12,1,3,ECAVL2/ECAVL16,7,2.197047619,89,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,13,1,3,ECAVL16-STR/ECAVL18,17,2.084772063,89,2,0.866666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,14,1,3,ECAVL2/NIP25,11,1.258647619,85,5,0.928571429,14,3
Ethiopia,Low Nitrogen,Bako Low N,15,1,3,ECAVL1/ECAVL17,4,1.282911746,91,2,0.6,15,3
Ethiopia,Low Nitrogen,Bako Low N,16,1,4,ECAVL2-#,23,0.838342857,91,2,0.571428571,14,2.5
Ethiopia,Low Nitrogen,Bako Low N,17,1,4,ECAVL1/NIP25,6,1.65272381,84,3,0.928571429,14,3
Ethiopia,Low Nitrogen,Bako Low N,18,1,4,ECAVL1/ECAVL16-STR,3,1.845714286,89,2,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,19,1,4,ECAVL2/ECAVL18,10,2.466284444,89,2,1.75,8,2
Ethiopia,Low Nitrogen,Bako Low N,20,1,4,ECAVL18/NIP25,21,1.437714286,89,2,0.769230769,13,2.5
Ethiopia,Low Nitrogen,Bako Low N,21,1,5,ECAVL17/NIP25,20,0.731723175,90,2,0.866666667,15,3.5
Ethiopia,Low Nitrogen,Bako Low N,22,1,5,ECAVL16-#,24,1.347241905,86,2,1,14,2.5
Ethiopia,Low Nitrogen,Bako Low N,23,1,5,CML202/CML395/CML312-RE,29,.,.,.,.,.,.
Ethiopia,Low Nitrogen,Bako Low N,24,1,5,ECAVL16/NIP25,15,3.492220952,82,3,1,15,1.5
Ethiopia,Low Nitrogen,Bako Low N,25,1,5,ECAVL1/ECAVL18,5,2.437271111,88,2,0.666666667,15,1.5
Ethiopia,Low Nitrogen,Bako Low N,26,1,6,ECAVL18-#,27,2.101459048,89,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,27,1,6,ECAVL1/ECAVL2,1,2.25112381,89,2,1.071428571,14,2.5
Ethiopia,Low Nitrogen,Bako Low N,28,1,6,ECAVL1-#,22,0.676222222,85,3,0.666666667,15,3.5
Ethiopia,Low Nitrogen,Bako Low N,29,1,6,ECAVL2/ECAVL17,9,0.444374603,91,2,0.428571429,14,3.5
Ethiopia,Low Nitrogen,Bako Low N,30,1,6,ECAVL17/ECAVL18,19,3.110622222,87,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,31,2,7,ECAVL2/NIP25,11,1.702115556,87,2,0.866666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,32,2,7,ECAVL1/NIP25,6,2.808011429,87,2,1,15,2
Ethiopia,Low Nitrogen,Bako Low N,33,2,7,ECAVL16-STR-#,25,2.182864762,90,2,1.083333333,12,2.5
Ethiopia,Low Nitrogen,Bako Low N,34,2,7,ECAVL1-#,22,2.644444444,84,1,1.083333333,12,2
Ethiopia,Low Nitrogen,Bako Low N,35,2,7,CML202/CML395/CML312-RE,29,0.918539683,85,2,1.2,5,2.5
Ethiopia,Low Nitrogen,Bako Low N,36,2,8,ECAVL2/ECAVL17,9,4.111862857,85,3,1.066666667,15,1.5
Ethiopia,Low Nitrogen,Bako Low N,37,2,8,ECAVL18/NIP25,21,3.049853968,85,2,1.066666667,15,2
Ethiopia,Low Nitrogen,Bako Low N,38,2,8,ECAVL1/ECAVL18,5,2.831735873,83,1,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,39,2,8,ECAVL16/ECAVL17,13,2.40176,84,3,1,13,2.5
Ethiopia,Low Nitrogen,Bako Low N,40,2,8,ECAVL16/ECAVL18,14,1.446133333,87,2,0.785714286,14,2.5
Ethiopia,Low Nitrogen,Bako Low N,41,2,9,ECAVL16-STR/ECAVL18,17,2.237502222,89,1,1,14,2.5
Ethiopia,Low Nitrogen,Bako Low N,42,2,9,ECAVL17/ECAVL18,19,2.500737778,88,1,0.866666667,15,2
Ethiopia,Low Nitrogen,Bako Low N,43,2,9,NIP25-#,28,0.797456508,87,3,0.692307692,13,3.5
Ethiopia,Low Nitrogen,Bako Low N,44,2,9,ECAVL17/NIP25,20,2.379093333,88,1,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,45,2,9,DH04,30,1.76368254,90,2,0.733333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,46,2,10,ECAVL2/ECAVL16-STR,8,2.91471746,88,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,47,2,10,ECAVL1/ECAVL17,4,2.550539683,88,2,0.928571429,14,2
Ethiopia,Low Nitrogen,Bako Low N,48,2,10,ECAVL2-#,23,2.466780952,89,2,0.8,15,2
Ethiopia,Low Nitrogen,Bako Low N,49,2,10,ECAVL16-STR/ECAVL17,16,5.082730159,87,0,1.2,15,1.5
Ethiopia,Low Nitrogen,Bako Low N,50,2,10,ECAVL18-#,27,2.473386667,87,2,1.076923077,13,2
Ethiopia,Low Nitrogen,Bako Low N,51,2,11,ECAVL16/ECAVL16-STR,12,1.434497778,89,1,0.857142857,14,3
Ethiopia,Low Nitrogen,Bako Low N,52,2,11,ECAVL2/ECAVL16,7,1.335822222,89,2,0.916666667,12,2.5
