Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
ARGENTINA,Buenos Aires,ARMENT//2*SOOTY_9/RASCON_37/4/CNDO/PRIMADUR//HAI-OU_17/3/SNITAN,1,1,2.21,31.5,57,68.8
ARGENTINA,Buenos Aires,ARMENT//2*SOOTY_9/RASCON_37/4/CNDO/PRIMADUR//HAI-OU_17/3/SNITAN,1,2,0.77,29,56,57.3
ARGENTINA,Buenos Aires,ATTILA,2,1,2.94,34.9,55,66.3
ARGENTINA,Buenos Aires,ATTILA,2,2,2.91,36.7,54,73.3
ARGENTINA,Buenos Aires,ATTILA*2/PBW65,3,1,3.57,30.6,56,71.3
ARGENTINA,Buenos Aires,ATTILA*2/PBW65,3,2,2.43,32,58,68.5
ARGENTINA,Buenos Aires,ATTILA*2/PBW65*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,4,1,3.58,37.3,57,64.5
ARGENTINA,Buenos Aires,ATTILA*2/PBW65*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,4,2,3.57,35.9,56,71.3
ARGENTINA,Buenos Aires,ATTILA//PGO/SERI/3/PASTOR,5,1,2.45,37.5,55,59.3
ARGENTINA,Buenos Aires,ATTILA//PGO/SERI/3/PASTOR,5,2,1.53,34.3,55,64
ARGENTINA,Buenos Aires,ATTILA/PASTOR,6,1,1.79,35.2,55,62.8
ARGENTINA,Buenos Aires,ATTILA/PASTOR,6,2,1.28,29,58,65.3
ARGENTINA,Buenos Aires,BABAX/LR42//BABAX/3/ER2000,7,1,2.15,35.6,56,63.3
ARGENTINA,Buenos Aires,BABAX/LR42//BABAX/3/ER2000,7,2,0.99,27.8,55,65.3
ARGENTINA,Buenos Aires,BABAX/LR42//BABAX/3/VORB,8,1,2.9,42.7,56,70.5
ARGENTINA,Buenos Aires,BABAX/LR42//BABAX/3/VORB,8,2,3.1,41.1,56,75.5
ARGENTINA,Buenos Aires,BACANORA T 88,9,1,2.23,30.1,56,52.3
ARGENTINA,Buenos Aires,BACANORA T 88,9,2,2.53,30,57,63
ARGENTINA,Buenos Aires,BAVIACORA M 92,10,1,2.47,39.3,55,62.8
ARGENTINA,Buenos Aires,BAVIACORA M 92,10,2,3.12,33.4,56,73.3
ARGENTINA,Buenos Aires,BCN/RIALTO,11,1,2.18,31.2,61,41.5
ARGENTINA,Buenos Aires,BCN/RIALTO,11,2,1.27,28.3,61,42.8
ARGENTINA,Buenos Aires,BCN/WBLL1,12,1,2.94,41.2,55,69.3
ARGENTINA,Buenos Aires,BCN/WBLL1,12,2,3.3,35.6,57,69.8
ARGENTINA,Buenos Aires,BECARD,13,1,3.55,34.8,56,68.8
ARGENTINA,Buenos Aires,BECARD,13,1,3.55,34.8,57,66.3
ARGENTINA,Buenos Aires,BECARD,14,2,2.18,33.5,54,70.5
ARGENTINA,Buenos Aires,BECARD,14,2,4.38,39.4,57,71.3
ARGENTINA,Buenos Aires,BECARD/KACHU,15,1,2.55,39.5,56,65
ARGENTINA,Buenos Aires,BECARD/KACHU,15,2,1.9,40.6,55,62
ARGENTINA,Buenos Aires,BRBT1*2/KIRITATI,16,1,2.42,35,54,67.5
